SYMBOL,COMPANY
TCS,TATA CONSULTANCY SERV LT 
RELIANCE,RELIANCE INDUSTRIES LTD  
INFY,INFOSYS LIMITED          
HDFCBANK,HDFC BANK LTD            
ITC,ITC LTD                  
SUNPHARMA,SUN PHARMACEUTICALS IND. 
HINDUNILVR,HINDUSTAN UNILEVER LTD.  
COALINDIA,COAL INDIA LTD           
ONGC,OIL AND NATURAL GAS CORP.
HDFC,HDFC LTD                 
SBIN,STATE BANK OF INDIA      
BHARTIARTL,BHARTI AIRTEL LIMITED    
WIPRO,WIPRO LTD                
ICICIBANK,ICICI BANK LTD.          
KOTAKBANK,KOTAK MAHINDRA BANK LTD  
HCLTECH,HCL TECHNOLOGIES LTD     
LT,LARSEN & TOUBRO LTD.     
MARUTI,MARUTI SUZUKI INDIA LTD. 
TATAMOTORS,TATA MOTORS LIMITED      
NTPC,NTPC LTD                 
AXISBANK,AXIS BANK LIMITED        
IOC,INDIAN OIL CORP LTD      
ULTRACEMCO,ULTRATECH CEMENT LIMITED 
ASIANPAINT,ASIAN PAINTS LIMITED     
HINDZINC,HINDUSTAN ZINC LIMITED   
M&M,MAHINDRA & MAHINDRA LTD  
POWERGRID,POWER GRID CORP. LTD.    
INFRATEL,BHARTI INFRATEL LTD.     
BAJAJ-AUTO,BAJAJ AUTO LIMITED       
LUPIN,LUPIN LIMITED            
BPCL,BHARAT PETROLEUM CORP  LT
BOSCHLTD,BOSCH LIMITED            
HEROMOTOCO,HERO MOTOCORP LIMITED    
INDUSINDBK,INDUSIND BANK LIMITED    
EICHERMOT,EICHER MOTORS LTD        
DRREDDY,DR. REDDY'S LABORATORIES 
ADANIPORTS,ADANI PORT & SEZ LTD     
GODREJCP,GODREJ CONSUMER PRODUCTS 
TECHM,TECH MAHINDRA LIMITED    
GAIL,GAIL (INDIA) LTD         
DABUR,DABUR INDIA LTD          
AUROPHARMA,AUROBINDO PHARMA LTD     
SHREECEM,SHREE CEMENTS LTD        
CIPLA,CIPLA LTD                
IDEA,IDEA CELLULAR LIMITED    
SIEMENS,SIEMENS LTD              
NMDC,NMDC LTD.                
BAJFINANCE,BAJAJ FINANCE LIMITED    
ZEEL,ZEE ENTERTAINMENT ENT LTD
YESBANK,YES BANK LIMITED         
AMBUJACEM,AMBUJA CEMENTS LTD       
GRASIM,GRASIM INDUSTRIES LTD    
MOTHERSUMI,MOTHERSON SUMI SYSTEMS LT
BANKBARODA,BANK OF BARODA           
MCDOWELL-N,UNITED SPIRITS LIMITED   
CADILAHC,CADILA HEALTHCARE LIMITED
GLAXO,GLAXOSMITHKLINE PHARMA LT
BRITANNIA,BRITANNIA INDUSTRIES LTD 
MARICO,MARICO LIMITED           
INDIGO,INTERGLOBE AVIATION LTD  
TATASTEEL,TATA STEEL LIMITED       
JSWSTEEL,JSW STEEL LIMITED        
ASHOKLEY,ASHOK LEYLAND LTD        
PIDILITIND,PIDILITE INDUSTRIES LTD  
TITAN,TITAN COMPANY LIMITED    
OFSS,ORACLE FIN SERV SOFT LTD.
BEL,BHARAT ELECTRONICS LTD   
CAIRN,CAIRN INDIA LIMITED      
BHEL,BHEL                     
IBULHSGFIN,INDIABULLS HSG FIN LTD   
